S 649ca8(set 5 of 32),4 hit 
S 649d9c(set 12 of 32),4 hit 
S 649e90(set 20 of 32),4 miss eviction 
L 608378(set 27 of 32),4 hit 
L 60837c(set 27 of 32),4 hit 
L 608380(set 28 of 32),4 miss eviction 
L 608384(set 28 of 32),4 hit 
L 608388(set 28 of 32),4 hit 
L 60838c(set 28 of 32),4 hit 
L 608390(set 28 of 32),4 hit 
L 608394(set 28 of 32),4 hit 
S 6497e8(set 31 of 32),4 hit 
S 6498dc(set 6 of 32),4 hit 
S 6499d0(set 14 of 32),4 hit 
S 649ac4(set 22 of 32),4 hit 
S 649bb8(set 29 of 32),4 hit 
S 649cac(set 5 of 32),4 hit 
S 649da0(set 13 of 32),4 miss eviction 
S 649e94(set 20 of 32),4 hit 
L 608484(set 4 of 32),4 miss eviction 
L 608488(set 4 of 32),4 hit 
L 60848c(set 4 of 32),4 hit 
L 608490(set 4 of 32),4 hit 
L 608494(set 4 of 32),4 hit 
L 608498(set 4 of 32),4 hit 
L 60849c(set 4 of 32),4 hit 
L 6084a0(set 5 of 32),4 miss eviction 
S 6497ec(set 31 of 32),4 hit 
S 6498e0(set 7 of 32),4 miss eviction 
S 6499d4(set 14 of 32),4 hit 
S 649ac8(set 22 of 32),4 hit 
S 649bbc(set 29 of 32),4 hit 
S 649cb0(set 5 of 32),4 miss eviction 
S 649da4(set 13 of 32),4 hit 
S 649e98(set 20 of 32),4 hit 
L 608590(set 12 of 32),4 miss eviction 
L 608594(set 12 of 32),4 hit 
L 608598(set 12 of 32),4 hit 
L 60859c(set 12 of 32),4 hit 
L 6085a0(set 13 of 32),4 miss eviction 
L 6085a4(set 13 of 32),4 hit 
L 6085a8(set 13 of 32),4 hit 
L 6085ac(set 13 of 32),4 hit 
S 6497f0(set 31 of 32),4 hit 
S 6498e4(set 7 of 32),4 hit 
S 6499d8(set 14 of 32),4 hit 
S 649acc(set 22 of 32),4 hit 
S 649bc0(set 30 of 32),4 miss eviction 
S 649cb4(set 5 of 32),4 hit 
S 649da8(set 13 of 32),4 miss eviction 
S 649e9c(set 20 of 32),4 hit 
L 60869c(set 20 of 32),4 miss eviction 
L 6086a0(set 21 of 32),4 miss eviction 
L 6086a4(set 21 of 32),4 hit 
L 6086a8(set 21 of 32),4 hit 
L 6086ac(set 21 of 32),4 hit 
L 6086b0(set 21 of 32),4 hit 
L 6086b4(set 21 of 32),4 hit 
L 6086b8(set 21 of 32),4 hit 
S 6497f4(set 31 of 32),4 hit 
S 6498e8(set 7 of 32),4 hit 
S 6499dc(set 14 of 32),4 hit 
S 649ad0(set 22 of 32),4 hit 
S 649bc4(set 30 of 32),4 hit 
S 649cb8(set 5 of 32),4 hit 
S 649dac(set 13 of 32),4 hit 
S 649ea0(set 21 of 32),4 miss eviction 
L 6087a8(set 29 of 32),4 miss eviction 
L 6087ac(set 29 of 32),4 hit 
L 6087b0(set 29 of 32),4 hit 
L 6087b4(set 29 of 32),4 hit 
L 6087b8(set 29 of 32),4 hit 
L 6087bc(set 29 of 32),4 hit 
L 6087c0(set 30 of 32),4 miss eviction 
L 6087c4(set 30 of 32),4 hit 
S 6497f8(set 31 of 32),4 hit 
S 6498ec(set 7 of 32),4 hit 
S 6499e0(set 15 of 32),4 miss eviction 
S 649ad4(set 22 of 32),4 hit 
S 649bc8(set 30 of 32),4 miss eviction 
S 649cbc(set 5 of 32),4 hit 
S 649db0(set 13 of 32),4 hit 
S 649ea4(set 21 of 32),4 hit 
L 6088b4(set 5 of 32),4 miss eviction 
L 6088b8(set 5 of 32),4 hit 
L 6088bc(set 5 of 32),4 hit 
L 6088c0(set 6 of 32),4 miss eviction 
L 6088c4(set 6 of 32),4 hit 
L 6088c8(set 6 of 32),4 hit 
L 6088cc(set 6 of 32),4 hit 
L 6088d0(set 6 of 32),4 hit 
S 6497fc(set 31 of 32),4 hit 
S 6498f0(set 7 of 32),4 hit 
S 6499e4(set 15 of 32),4 hit 
S 649ad8(set 22 of 32),4 hit 
S 649bcc(set 30 of 32),4 hit 
S 649cc0(set 6 of 32),4 miss eviction 
S 649db4(set 13 of 32),4 hit 
S 649ea8(set 21 of 32),4 hit 
L 608180(set 12 of 32),4 miss eviction 
L 608184(set 12 of 32),4 hit 
L 608188(set 12 of 32),4 hit 
L 60818c(set 12 of 32),4 hit 
L 608190(set 12 of 32),4 hit 
L 608194(set 12 of 32),4 hit 
L 608198(set 12 of 32),4 hit 
L 60819c(set 12 of 32),4 hit 
S 649f80(set 28 of 32),4 miss eviction 
S 64a074(set 3 of 32),4 miss eviction 
